,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1000.0,10000.0,photon,52,total,flux,6.076803444477382e-06,1.300011046945082e-07
1,10000.0,20000.0,photon,52,total,flux,3.16623744633852e-06,1.4634501990388188e-07
2,20000.0,30000.0,photon,52,total,flux,5.2570499624046696e-06,2.561344724800689e-07
3,30000.0,45000.0,photon,52,total,flux,1.5560191304355295e-05,3.895725089022879e-07
4,45000.0,60000.0,photon,52,total,flux,2.876855785239124e-05,4.3943066899315254e-07
5,60000.0,70000.0,photon,52,total,flux,3.469955812897858e-05,4.648810809392709e-07
6,70000.0,75000.0,photon,52,total,flux,3.0304844518142707e-05,4.1617342070839517e-07
7,75000.0,100000.0,photon,52,total,flux,0.0004821959032547056,1.4747307889667589e-06
8,100000.0,150000.0,photon,52,total,flux,0.003916047873031904,2.9387762894111053e-06
9,150000.0,200000.0,photon,52,total,flux,0.006073042699813744,7.45272851304183e-06
10,200000.0,300000.0,photon,52,total,flux,0.012949266762913672,8.254666020031438e-06
11,300000.0,400000.0,photon,52,total,flux,0.010832649591177758,1.0055307261167558e-05
12,400000.0,450000.0,photon,52,total,flux,0.004648099922377643,5.874709010508611e-06
13,450000.0,510000.0,photon,52,total,flux,0.005125680557976453,4.7869933510980925e-06
14,510000.0,512000.0,photon,52,total,flux,0.001086927170711363,3.4179920045341122e-06
15,512000.0,600000.0,photon,52,total,flux,0.006468045245265136,5.707602174627805e-06
16,600000.0,700000.0,photon,52,total,flux,0.006705836127349041,6.928921078326468e-06
17,700000.0,800000.0,photon,52,total,flux,0.0061311098394232644,5.24192869235277e-06
18,800000.0,1000000.0,photon,52,total,flux,0.02315212331138116,1.613681064321908e-05
19,1000000.0,1330000.0,photon,52,total,flux,0.007232322053521786,5.847803101453087e-06
20,1330000.0,1340000.0,photon,52,total,flux,0.0001289576830770493,1.168390755626682e-06
21,1340000.0,1500000.0,photon,52,total,flux,0.002320868087620028,3.2943282201923902e-06
22,1500000.0,1660000.0,photon,52,total,flux,0.0012899350350713845,2.173849098216024e-06
23,1660000.0,2000000.0,photon,52,total,flux,0.003911317848062408,4.689584062691475e-06
24,2000000.0,2500000.0,photon,52,total,flux,0.004240602053867979,6.76053007266473e-06
25,2500000.0,3000000.0,photon,52,total,flux,0.003199773866276327,2.396819215159682e-06
