,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,0.01,0.05,photon,52,total,flux,0.0,0.0
1,0.05,0.1,photon,52,total,flux,0.0,0.0
2,0.1,0.12,photon,52,total,flux,0.0,0.0
3,0.12,0.14,photon,52,total,flux,0.0,0.0
4,0.14,0.16,photon,52,total,flux,0.0,0.0
5,0.16,0.18,photon,52,total,flux,0.0,0.0
6,0.18,0.2,photon,52,total,flux,0.0,0.0
7,0.2,0.22,photon,52,total,flux,0.0,0.0
8,0.22,0.24,photon,52,total,flux,0.0,0.0
9,0.24,0.26,photon,52,total,flux,0.0,0.0
10,0.26,0.28,photon,52,total,flux,0.0,0.0
11,0.28,0.3,photon,52,total,flux,0.0,0.0
12,0.3,0.32,photon,52,total,flux,0.0,0.0
13,0.32,0.34,photon,52,total,flux,0.0,0.0
14,0.34,0.36,photon,52,total,flux,0.0,0.0
15,0.36,0.38,photon,52,total,flux,0.0,0.0
16,0.38,0.4,photon,52,total,flux,0.0,0.0
17,0.4,0.42,photon,52,total,flux,0.0,0.0
18,0.42,0.44,photon,52,total,flux,0.0,0.0
19,0.44,0.46,photon,52,total,flux,0.0,0.0
20,0.46,0.48,photon,52,total,flux,0.0,0.0
21,0.48,0.5,photon,52,total,flux,0.0,0.0
22,0.5,0.525,photon,52,total,flux,0.0,0.0
23,0.525,0.55,photon,52,total,flux,0.0,0.0
24,0.55,0.575,photon,52,total,flux,0.0,0.0
25,0.575,0.6,photon,52,total,flux,0.0,0.0
26,0.6,0.625,photon,52,total,flux,0.0,0.0
27,0.625,0.65,photon,52,total,flux,0.0,0.0
28,0.65,0.675,photon,52,total,flux,0.0,0.0
29,0.675,0.7,photon,52,total,flux,0.0,0.0
30,0.7,0.725,photon,52,total,flux,0.0,0.0
31,0.725,0.75,photon,52,total,flux,0.0,0.0
32,0.75,0.775,photon,52,total,flux,0.0,0.0
33,0.775,0.8,photon,52,total,flux,0.0,0.0
34,0.8,0.825,photon,52,total,flux,0.0,0.0
35,0.825,0.85,photon,52,total,flux,0.0,0.0
36,0.85,0.875,photon,52,total,flux,0.0,0.0
37,0.875,0.9,photon,52,total,flux,0.0,0.0
38,0.9,0.925,photon,52,total,flux,0.0,0.0
39,0.925,0.95,photon,52,total,flux,0.0,0.0
40,0.95,0.975,photon,52,total,flux,0.0,0.0
41,0.975,1.0,photon,52,total,flux,0.0,0.0
42,1.0,1.05,photon,52,total,flux,0.0,0.0
43,1.05,1.1,photon,52,total,flux,0.0,0.0
44,1.1,1.15,photon,52,total,flux,0.0,0.0
45,1.15,1.2,photon,52,total,flux,0.0,0.0
46,1.2,1.25,photon,52,total,flux,0.0,0.0
47,1.25,1.3,photon,52,total,flux,0.0,0.0
48,1.3,1.35,photon,52,total,flux,0.0,0.0
49,1.35,1.4,photon,52,total,flux,0.0,0.0
50,1.4,1.45,photon,52,total,flux,0.0,0.0
51,1.45,1.5,photon,52,total,flux,0.0,0.0
52,1.5,1.55,photon,52,total,flux,0.0,0.0
53,1.55,1.6,photon,52,total,flux,0.0,0.0
54,1.6,1.65,photon,52,total,flux,0.0,0.0
55,1.65,1.7,photon,52,total,flux,0.0,0.0
56,1.7,1.75,photon,52,total,flux,0.0,0.0
57,1.75,1.8,photon,52,total,flux,0.0,0.0
58,1.8,1.85,photon,52,total,flux,0.0,0.0
59,1.85,1.9,photon,52,total,flux,0.0,0.0
60,1.9,1.95,photon,52,total,flux,0.0,0.0
