1tally      104        nps =   500000000
+                                    Gamma Leakage Spectrum from Sphere in cell=52 (5mm thick Si(Li)), Normal. 
           tally type 4    track length estimate of particle flux.                             
           particle(s): photons  

           this tally is all multiplied by  3.44196E+03
           this tally is modified by   ft  geb

           volumes 
                   cell:      52                                                                                   
                         1.72111E+03
 
 cell  52                                                                                                                              
      energy   
    2.0000E-03   3.25631E-04 0.0085
    2.3000E-03   2.00442E-04 0.0091
    2.5000E-03   1.32589E-04 0.0099
    3.0000E-03   3.57328E-04 0.0073
    4.0000E-03   6.95961E-04 0.0059
    5.0000E-03   7.10420E-04 0.0054
    6.0000E-03   6.17089E-04 0.0057
    7.0000E-03   2.72508E-04 0.0079
    8.0000E-03   1.21202E-04 0.0113
    9.0000E-03   1.25231E-04 0.0112
    1.0000E-02   2.12717E-04 0.0082
    1.1000E-02   2.34375E-04 0.0075
    1.2000E-02   2.23930E-04 0.0075
    1.3000E-02   2.08266E-04 0.0077
    1.4000E-02   1.93354E-04 0.0078
    1.5000E-02   1.80018E-04 0.0080
    1.6000E-02   1.72849E-04 0.0080
    1.7000E-02   1.72894E-04 0.0080
    1.8000E-02   1.79699E-04 0.0084
    1.9000E-02   1.97117E-04 0.0072
    2.0000E-02   2.41543E-04 0.0069
    2.1000E-02   3.52729E-04 0.0059
    2.2000E-02   6.23283E-04 0.0044
    2.3000E-02   1.18223E-03 0.0032
    2.4000E-02   1.90516E-03 0.0028
    2.5000E-02   2.37382E-03 0.0024
    2.6000E-02   2.14154E-03 0.0025
    2.7000E-02   1.38473E-03 0.0030
    2.8000E-02   6.46706E-04 0.0040
    2.9000E-02   2.33405E-04 0.0064
    3.0000E-02   8.66011E-05 0.0104
    3.2000E-02   1.52399E-04 0.0101
    3.4000E-02   2.36832E-04 0.0071
    3.6000E-02   3.27321E-04 0.0060
    3.8000E-02   4.07711E-04 0.0053
    4.0000E-02   4.75475E-04 0.0049
    4.2000E-02   5.33447E-04 0.0047
    4.4000E-02   5.82145E-04 0.0043
    4.6000E-02   6.26994E-04 0.0041
    4.8000E-02   6.48320E-04 0.0040
    5.0000E-02   6.46052E-04 0.0040
    5.2000E-02   6.17260E-04 0.0042
    5.4000E-02   5.98779E-04 0.0042
    5.6000E-02   6.34740E-04 0.0043
    5.8000E-02   7.05327E-04 0.0039
    6.0000E-02   8.04802E-04 0.0038
    6.5000E-02   2.57858E-03 0.0023
    7.0000E-02   3.54939E-03 0.0020
    7.5000E-02   3.67379E-03 0.0019
    8.0000E-02   3.82415E-03 0.0019
    8.5000E-02   3.73891E-03 0.0019
    9.0000E-02   2.42219E-03 0.0023
    9.5000E-02   1.70804E-03 0.0026
    1.0000E-01   1.87272E-03 0.0027
    1.0500E-01   2.24724E-03 0.0023
    1.1000E-01   2.64947E-03 0.0021
    1.1500E-01   3.16897E-03 0.0019
    1.2000E-01   3.88182E-03 0.0017
    1.2500E-01   4.75079E-03 0.0016
    1.3000E-01   5.54541E-03 0.0015
    1.3500E-01   5.80999E-03 0.0015
    1.4000E-01   5.33259E-03 0.0016
    1.5000E-01   7.56014E-03 0.0014
    1.6000E-01   6.78312E-03 0.0014
    1.7000E-01   9.33255E-03 0.0012
    1.8000E-01   1.06822E-02 0.0011
    1.9000E-01   9.38468E-03 0.0012
    2.0000E-01   6.65538E-03 0.0014
    2.1000E-01   5.69021E-03 0.0015
    2.2000E-01   6.37774E-03 0.0014
    2.3000E-01   6.73588E-03 0.0013
    2.4000E-01   6.71580E-03 0.0013
    2.5000E-01   6.97888E-03 0.0013
    2.6000E-01   7.68280E-03 0.0013
    2.7000E-01   8.55078E-03 0.0012
    2.8000E-01   9.33453E-03 0.0012
    2.9000E-01   1.02551E-02 0.0011
    3.0000E-01   1.13538E-02 0.0011
    3.2000E-01   2.42970E-02 0.0008
    3.4000E-01   2.30980E-02 0.0008
    3.6000E-01   2.32488E-02 0.0008
    3.8000E-01   2.04518E-02 0.0008
    4.0000E-01   1.41512E-02 0.0009
    4.2000E-01   1.00347E-02 0.0012
    4.4000E-01   9.80527E-03 0.0012
    4.6000E-01   1.10302E-02 0.0011
    4.8000E-01   1.19735E-02 0.0011
    5.0000E-01   1.23009E-02 0.0011
    5.5000E-01   3.35137E-02 0.0008
    6.0000E-01   4.48673E-02 0.0007
    6.5000E-01   5.51247E-02 0.0006
    7.0000E-01   4.64173E-02 0.0006
    7.5000E-01   3.20655E-02 0.0007
    8.0000E-01   2.31817E-02 0.0008
    8.5000E-01   2.17880E-02 0.0009
    9.0000E-01   2.26648E-02 0.0009
    9.5000E-01   2.23451E-02 0.0009
    1.0000E+00   2.02134E-02 0.0009
    1.1000E+00   3.47148E-02 0.0007
    1.2000E+00   3.24820E-02 0.0007
    1.3000E+00   2.63133E-02 0.0008
    1.4000E+00   2.06639E-02 0.0009
    1.5000E+00   1.72646E-02 0.0010
    1.6000E+00   1.51730E-02 0.0011
    1.7000E+00   1.41661E-02 0.0011
    1.8000E+00   1.29673E-02 0.0012
    1.9000E+00   1.09531E-02 0.0013
    2.0000E+00   9.03900E-03 0.0015
    2.2500E+00   1.85039E-02 0.0012
