#      si3          sp3     
       a            d                 $  probability density Function(Ei) [1/MeV] at Ei [MeV] (energy spectrum); Area = 10 g/f
c      E, MeV       Spectr, g/MeV/f
       0.01         1.3652E+01  $ extrapolated
       1.0141E-01   1.3652E+01  $ <= taken from Talou model
       1.9194E+00   7.7656E-01 $                1.2790       1.3906E+00
       1.9734E+00   7.1972E-01 $                1.2920       1.4027E+00
       2.0290E+00   6.9749E-01 $                1.3050       1.3924E+00
       2.0860E+00   6.3051E-01 $                1.3180       1.3127E+00
       2.1447E+00   6.0256E-01 $                1.3320       1.2728E+00
       2.2050E+00   5.5917E-01 $                1.3450       1.3004E+00
       2.2671E+00   5.2007E-01 $                1.3580       1.2427E+00
       2.3308E+00   4.8602E-01 $                1.3710       1.2262E+00
       2.3964E+00   4.4761E-01 $                1.3850       1.2442E+00
       2.4638E+00   4.1841E-01 $                1.3980       1.2000E+00
       2.5331E+00   3.9164E-01 $                1.4120       1.1595E+00
       2.6044E+00   3.5752E-01 $                1.4260       1.1558E+00
       2.6776E+00   3.2711E-01 $                1.4400       1.2056E+00
       2.7530E+00   3.1159E-01 $                1.4530       1.1688E+00
       2.8304E+00   2.7626E-01 $                1.4670       1.1633E+00
       2.9100E+00   2.5698E-01 $                1.4810       1.1416E+00
       2.9919E+00   2.3354E-01 $                1.4950       1.1057E+00
       3.0761E+00   2.0946E-01 $                1.5090       1.0874E+00
       3.1626E+00   1.8859E-01 $                1.5240       1.0587E+00
       3.2515E+00   1.7062E-01 $                1.5380       1.0403E+00
       3.3430E+00   1.5283E-01 $                1.5530       1.0522E+00
       3.4371E+00   1.3862E-01 $                1.5670       1.0466E+00
       3.5337E+00   1.2414E-01 $                1.5820       1.0377E+00
       3.6332E+00   1.0976E-01 $                1.5960       1.0340E+00
       3.7353E+00   9.9258E-02 $                1.6110       1.0093E+00
       3.8404E+00   8.6108E-02 $                1.6250       1.0442E+00
       3.9485E+00   7.6527E-02 $                1.6400       9.9898E-01
       4.0595E+00   6.5758E-02 $                1.6550       1.0045E+00
       4.1737E+00   5.9637E-02 $                1.6700       9.8822E-01
       4.2911E+00   5.3028E-02 $                1.6850       9.9510E-01
       4.4118E+00   4.4304E-02 $                1.7000       9.3555E-01
       4.5359E+00   4.0101E-02 $                1.7150       9.4450E-01
       4.6635E+00   3.4537E-02 $                1.7310       9.5788E-01
       4.7947E+00   2.9057E-02 $                1.7460       9.8497E-01
       4.9296E+00   2.4690E-02 $                1.7610       9.5393E-01
       5.0683E+00   2.1471E-02 $                1.7760       9.0322E-01
       5.2109E+00   1.7689E-02 $                1.7920       8.9935E-01
       5.3574E+00   1.4700E-02 $                1.8080       8.8381E-01
       5.5081E+00   1.2044E-02 $                1.8240       8.8769E-01
       5.6631E+00   1.0211E-02 $                1.8390       9.0792E-01
       5.8224E+00   8.2955E-03 $                1.8550       8.6661E-01
       5.9862E+00   6.6381E-03 $                1.8710       8.3237E-01
       6.1546E+00   5.1198E-03 $                1.8870       8.4106E-01
       6.3277E+00   3.9762E-03 $                1.9030       7.9301E-01
       6.5057E+00   2.9061E-03 $                1.9190       8.0037E-01
       6.6887E+00   2.4382E-03 $                1.9350       7.8226E-01
       6.8769E+00   1.6789E-03 $                1.9520       7.2672E-01
       7.0703E+00   1.4085E-03 $                1.9680       7.3369E-01
       7.2692E+00   8.7357E-04 $                1.9850       7.3825E-01
       7.4737E+00   8.4967E-04 $                2.0010       7.6505E-01
       7.6839E+00   4.2573E-04 $                2.0340       7.3979E-01
       7.9001E+00   3.3492E-04 $                2.0680       7.1805E-01
       8.1223E+00   2.2507E-04 $                2.1010       6.8380E-01
       8.3508E+00   1.8435E-04 $                2.1360       6.5706E-01
       8.5857E+00   1.7370E-04 $                2.1700       6.3365E-01
       8.8272E+00   1.2535E-04 $                2.2050       6.1356E-01
       9.0755E+00   6.8910E-05 $                2.2400       6.2212E-01
       9.3308E+00   7.2180E-05 $                2.2750       5.9481E-01
       9.5933E+00   3.0088E-05 $                2.3110       5.8588E-01
       9.8632E+00   2.9265E-05 $                2.3470       5.6365E-01
       10.0         5.9890E-05 $ <= from Pandit 2.3830       5.7139E-01
       11.0         2.8470E-05 $                 2.4190       5.4461E-01
