e-low_eV	e-high_eV	Flux	FI/dU
1.00E+06	1.11E+06	6.41E-06	3.55E-01
1.11E+06	1.16E+06	3.92E-06	4.35E-01
1.16E+06	1.22E+06	4.15E-06	4.60E-01
1.22E+06	1.29E+06	2.38E-06	2.64E-01
1.29E+06	1.35E+06	2.80E-06	3.10E-01
1.35E+06	1.42E+06	2.74E-06	3.03E-01
1.42E+06	1.50E+06	2.26E-06	2.51E-01
1.50E+06	1.57E+06	2.22E-06	2.46E-01
1.57E+06	1.65E+06	2.32E-06	2.57E-01
1.65E+06	1.74E+06	2.45E-06	2.72E-01
1.74E+06	1.83E+06	2.35E-06	2.61E-01
1.83E+06	1.92E+06	1.74E-06	1.93E-01
1.92E+06	2.02E+06	1.49E-06	1.65E-01
2.02E+06	2.12E+06	1.52E-06	1.68E-01
2.12E+06	2.23E+06	1.44E-06	1.60E-01
2.23E+06	2.31E+06	1.06E-06	1.76E-01
2.31E+06	2.35E+06	4.03E-07	1.34E-01
2.35E+06	2.37E+06	2.76E-07	1.83E-01
2.37E+06	2.39E+06	2.56E-07	1.70E-01
2.39E+06	2.47E+06	7.70E-07	1.28E-01
2.47E+06	2.59E+06	9.64E-07	1.07E-01
2.59E+06	2.73E+06	1.10E-06	1.22E-01
2.73E+06	2.87E+06	9.44E-07	1.05E-01
2.87E+06	3.01E+06	8.59E-07	9.52E-02
3.01E+06	3.17E+06	6.99E-07	7.74E-02
3.17E+06	3.33E+06	7.23E-07	8.01E-02
3.33E+06	3.68E+06	1.28E-06	7.09E-02
3.68E+06	4.07E+06	9.15E-07	5.07E-02
4.07E+06	4.49E+06	8.25E-07	4.57E-02
4.49E+06	4.72E+06	3.37E-07	3.73E-02
4.72E+06	4.97E+06	2.98E-07	3.31E-02
4.97E+06	5.22E+06	2.70E-07	2.99E-02
5.22E+06	5.49E+06	2.38E-07	2.64E-02
5.49E+06	5.77E+06	2.09E-07	2.31E-02
5.77E+06	6.07E+06	1.80E-07	2.00E-02
6.07E+06	6.38E+06	1.58E-07	1.75E-02
6.38E+06	6.59E+06	9.10E-08	1.51E-02
6.59E+06	6.70E+06	4.24E-08	1.41E-02
6.70E+06	7.05E+06	1.16E-07	1.28E-02
7.05E+06	7.41E+06	9.80E-08	1.09E-02
7.41E+06	7.79E+06	8.14E-08	9.03E-03
7.79E+06	8.19E+06	6.72E-08	7.45E-03
8.19E+06	8.61E+06	5.46E-08	6.06E-03
8.61E+06	9.05E+06	4.38E-08	4.86E-03
9.05E+06	9.51E+06	3.43E-08	3.80E-03
9.51E+06	1.00E+07	2.61E-08	2.90E-03
1.00E+07	1.05E+07	2.01E-08	2.22E-03
1.05E+07	1.11E+07	1.47E-08	1.63E-03
1.11E+07	1.16E+07	1.06E-08	1.18E-03
