,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,341820.0,357430.0,photon,52,total,flux,0.0016228740359149122,9.842205542921274e-06
1,357430.0,380540.0,photon,52,total,flux,0.0022245331675400794,1.6276026211179377e-05
2,380540.0,395770.0,photon,52,total,flux,0.0013766668375869296,9.99399618614043e-06
3,395770.0,418370.0,photon,52,total,flux,0.0020017881171762444,1.1256322611039373e-05
4,418370.0,440720.0,photon,52,total,flux,0.0018948303277826616,1.2564910180078923e-05
5,440720.0,462850.0,photon,52,total,flux,0.0018048694907216076,1.470176970022344e-05
6,462850.0,492060.0,photon,52,total,flux,0.002288977243980493,1.1188853340011194e-05
7,492060.0,520960.0,photon,52,total,flux,0.0029102777735661206,1.1727974743479386e-05
8,520960.0,549600.0,photon,52,total,flux,0.001998430627967224,1.1183667002537354e-05
9,549600.0,578020.0,photon,52,total,flux,0.001926482734288973,1.7911144738998942e-05
10,578020.0,613270.0,photon,52,total,flux,0.0022816118758969763,1.2324590838650599e-05
11,613270.0,648240.0,photon,52,total,flux,0.0022003730300530723,1.3748560671283082e-05
12,648240.0,682980.0,photon,52,total,flux,0.0021020358281356745,1.0221815184338388e-05
13,682980.0,724410.0,photon,52,total,flux,0.002468329990082847,1.2517033963029523e-05
14,724410.0,772410.0,photon,52,total,flux,0.0026811886069553112,1.6559756606980876e-05
15,772410.0,813320.0,photon,52,total,flux,0.0023499023726300514,1.4600280409368986e-05
16,813320.0,867580.0,photon,52,total,flux,0.019081880368322285,3.4782348588575065e-05
17,867580.0,921550.0,photon,52,total,flux,0.0009048403820817975,6.81487413198804e-06
18,921550.0,975280.0,photon,52,total,flux,0.0007851372594298597,8.389301957786068e-06
19,975280.0,1035500.0000000001,photon,52,total,flux,0.0008725416769658004,7.690448261829043e-06
20,1035500.0000000001,1102100.0,photon,52,total,flux,0.001139375155250491,9.79883278152095e-06
21,1102100.0,1168500.0,photon,52,total,flux,0.0008900684578043415,6.496294168135362e-06
22,1168500.0,1247900.0,photon,52,total,flux,0.0026594637846372457,8.293943962254662e-06
23,1247900.0,1327000.0,photon,52,total,flux,0.0008645879499732921,9.984762013541813e-06
24,1327000.0,1412500.0,photon,52,total,flux,0.0015456728470633293,9.751812225191332e-06
25,1412500.0,1504300.0,photon,52,total,flux,0.0006752698722739955,7.3356308674429355e-06
26,1504300.0,1602500.0,photon,52,total,flux,0.000684194310885191,4.690204465841475e-06
27,1602500.0,1707000.0,photon,52,total,flux,0.0006882659173558245,8.593881189800162e-06
28,1707000.0,1824300.0,photon,52,total,flux,0.0021591042203097212,1.0151491015088375e-05
29,1824300.0,1941400.0,photon,52,total,flux,0.0006110702751168761,7.978640436754116e-06
30,1941400.0,2071300.0,photon,52,total,flux,0.0006985004610825053,5.577176873646739e-06
31,2071300.0,2214000.0,photon,52,total,flux,0.0017401460506785969,1.036746789505357e-05
32,2214000.0,2363000.0,photon,52,total,flux,0.0010130373793813554,6.1958146418004e-06
