,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,1e-05,0.1,neutron,70,total,flux,0.0,0.0
1,0.1,0.414,neutron,70,total,flux,0.0,0.0
2,0.414,0.532,neutron,70,total,flux,0.0,0.0
3,0.532,0.683,neutron,70,total,flux,0.0,0.0
4,0.683,0.876,neutron,70,total,flux,0.0,0.0
5,0.876,1.12,neutron,70,total,flux,0.0,0.0
6,1.12,1.44,neutron,70,total,flux,0.0,0.0
7,1.44,1.86,neutron,70,total,flux,0.0,0.0
8,1.86,2.38,neutron,70,total,flux,0.0,0.0
9,2.38,3.06,neutron,70,total,flux,0.0,0.0
10,3.06,3.93,neutron,70,total,flux,0.0,0.0
11,3.93,5.04,neutron,70,total,flux,0.0,0.0
12,5.04,6.48,neutron,70,total,flux,0.0,0.0
13,6.48,8.32,neutron,70,total,flux,0.0,0.0
14,8.32,10.7,neutron,70,total,flux,0.0,0.0
15,10.7,13.7,neutron,70,total,flux,0.0,0.0
16,13.7,17.6,neutron,70,total,flux,0.0,0.0
17,17.6,22.6,neutron,70,total,flux,0.0,0.0
18,22.6,29.0,neutron,70,total,flux,0.0,0.0
19,29.0,37.3,neutron,70,total,flux,0.0,0.0
20,37.3,47.9,neutron,70,total,flux,0.0,0.0
21,47.9,61.4,neutron,70,total,flux,0.0,0.0
22,61.4,78.9,neutron,70,total,flux,0.0,0.0
23,78.9,101.0,neutron,70,total,flux,0.0,0.0
24,101.0,130.0,neutron,70,total,flux,0.0,0.0
25,130.0,167.0,neutron,70,total,flux,0.0,0.0
26,167.0,214.0,neutron,70,total,flux,0.0,0.0
27,214.0,275.0,neutron,70,total,flux,0.0,0.0
28,275.0,354.0,neutron,70,total,flux,0.0,0.0
29,354.0,454.0,neutron,70,total,flux,0.0,0.0
30,454.0,583.0,neutron,70,total,flux,0.0,0.0
31,583.0,749.0,neutron,70,total,flux,0.0,0.0
32,749.0,961.0,neutron,70,total,flux,1.3312878432269256e-07,1.0437915545029389e-07
33,961.0,1230.0,neutron,70,total,flux,0.0,0.0
34,1230.0,1580.0,neutron,70,total,flux,7.411653401292972e-08,7.411653401292972e-08
35,1580.0,2030.0,neutron,70,total,flux,2.539950263374689e-07,1.3498965521831555e-07
36,2030.0,2250.0,neutron,70,total,flux,6.440227408195242e-09,6.440227408195242e-09
37,2250.0,2490.0,neutron,70,total,flux,8.661144716874891e-08,8.66114471687489e-08
38,2490.0,2610.0,neutron,70,total,flux,0.0,0.0
39,2610.0,2750.0,neutron,70,total,flux,0.0,0.0
40,2750.0,3040.0,neutron,70,total,flux,3.2116765324950204e-07,1.6740541454326354e-07
41,3040.0,3350.0,neutron,70,total,flux,3.2696633008432356e-08,3.2696633008432356e-08
42,3350.0,3710.0,neutron,70,total,flux,0.0,0.0
43,3710.0,4310.0,neutron,70,total,flux,1.0154101592686544e-07,1.0154101592686544e-07
44,4310.0,5530.0,neutron,70,total,flux,3.111181591626482e-07,1.3192341071441277e-07
45,5530.0,7100.0,neutron,70,total,flux,1.0159699437413499e-07,1.0159699437413499e-07
46,7100.0,9120.0,neutron,70,total,flux,0.0,0.0
47,9120.0,10600.0,neutron,70,total,flux,0.0,0.0
48,10600.0,11700.0,neutron,70,total,flux,0.0,0.0
49,11700.0,15000.0,neutron,70,total,flux,2.293674556261379e-07,1.2832742537288255e-07
50,15000.0,19300.0,neutron,70,total,flux,0.0,0.0
51,19300.0,21900.0,neutron,70,total,flux,1.1499310957233249e-07,1.1499310957233249e-07
52,21900.0,23600.0,neutron,70,total,flux,2.4301948479037417e-07,1.4415681331219487e-07
53,23600.0,24200.0,neutron,70,total,flux,1.5625785614717293e-07,1.0847116443179535e-07
54,24200.0,24800.0,neutron,70,total,flux,3.07727787830818e-07,1.5819585135921747e-07
55,24800.0,26100.0,neutron,70,total,flux,9.013241814702213e-07,3.69135516995878e-07
56,26100.0,27000.0,neutron,70,total,flux,0.0,0.0
57,27000.0,28500.0,neutron,70,total,flux,0.0,0.0
58,28500.0,31800.0,neutron,70,total,flux,0.0,0.0
59,31800.0,34300.0,neutron,70,total,flux,5.0816307926631656e-08,5.081630792663165e-08
60,34300.0,40900.0,neutron,70,total,flux,3.8232926018856703e-07,1.6671901802295339e-07
61,40900.0,46300.0,neutron,70,total,flux,2.5778719010510504e-07,1.2888611502550077e-07
62,46300.0,52500.0,neutron,70,total,flux,2.172864766872834e-07,1.1353395549992168e-07
63,52500.0,56600.0,neutron,70,total,flux,2.7117257029178196e-07,1.8095577794549424e-07
64,56600.0,67400.0,neutron,70,total,flux,1.1213448373019066e-06,3.550553046750948e-07
65,67400.0,72000.0,neutron,70,total,flux,9.885709015934236e-07,4.424377630160198e-07
66,72000.0,79500.0,neutron,70,total,flux,1.0586835622094446e-06,2.645033647767881e-07
67,79500.0,82500.0,neutron,70,total,flux,1.4989282956042782e-06,3.3822035125950837e-07
68,82500.0,86500.0,neutron,70,total,flux,3.1275877840728443e-07,1.876606500012026e-07
69,86500.0,98000.0,neutron,70,total,flux,4.3279914230027537e-07,1.6742964152433775e-07
70,98000.0,111000.0,neutron,70,total,flux,2.0817148183265643e-06,4.288163718658234e-07
71,111000.0,117000.0,neutron,70,total,flux,9.365145762754924e-07,2.822929365326808e-07
72,117000.0,123000.0,neutron,70,total,flux,1.3256768327474211e-06,2.1517512711324699e-07
73,123000.0,129000.0,neutron,70,total,flux,2.1935253815071494e-06,4.323458207807381e-07
74,129000.0,136000.0,neutron,70,total,flux,1.3877036831765665e-06,4.4224558783126645e-07
75,136000.0,143000.0,neutron,70,total,flux,3.0607744640623968e-06,7.744176465617529e-07
76,143000.0,150000.0,neutron,70,total,flux,2.947520055574678e-07,1.5142050430228254e-07
77,150000.0,158000.0,neutron,70,total,flux,7.820251846935603e-07,2.2118062382633653e-07
78,158000.0,166000.0,neutron,70,total,flux,1.470016541119885e-06,4.194257200297832e-07
79,166000.0,174000.0,neutron,70,total,flux,1.0858895895936325e-06,2.6680498133434635e-07
80,174000.0,183000.0,neutron,70,total,flux,2.718538868435382e-06,5.643768301672108e-07
81,183000.0,193000.0,neutron,70,total,flux,3.182301084666295e-06,6.787149462616078e-07
82,193000.0,202000.0,neutron,70,total,flux,4.308339379539208e-07,1.688652084293626e-07
83,202000.0,213000.0,neutron,70,total,flux,1.7640880160100057e-06,3.196494642557505e-07
84,213000.0,224000.0,neutron,70,total,flux,2.1334797429637376e-06,2.8285178522266414e-07
85,224000.0,235000.0,neutron,70,total,flux,8.775673623958058e-07,1.781641650560161e-07
86,235000.0,247000.0,neutron,70,total,flux,2.195072930618679e-06,3.4451051585601835e-07
87,247000.0,273000.0,neutron,70,total,flux,5.649239396258856e-06,7.589386821266052e-07
88,273000.0,287000.0,neutron,70,total,flux,2.0696555156131595e-06,3.229399941927838e-07
89,287000.0,295000.0,neutron,70,total,flux,1.4717959213090008e-06,4.5115156249004066e-07
90,295000.0,297000.0,neutron,70,total,flux,4.6844569709843957e-07,2.8916456586669885e-07
91,297000.0,298000.0,neutron,70,total,flux,2.865216614945352e-07,1.8763076081101692e-07
92,298000.0,302000.0,neutron,70,total,flux,1.0032171167569017e-06,4.0467098335983474e-07
93,302000.0,334000.0,neutron,70,total,flux,9.386899568635204e-06,1.0726641862269788e-06
94,334000.0,369000.0,neutron,70,total,flux,1.0738875566416876e-05,1.2789100470778475e-06
95,369000.0,388000.0,neutron,70,total,flux,6.857600819562661e-06,6.59837123407489e-07
96,388000.0,408000.0,neutron,70,total,flux,1.739494697525085e-06,3.742768413543492e-07
97,408000.0,450000.0,neutron,70,total,flux,4.885490336991332e-06,7.214742845854098e-07
98,450000.0,498000.0,neutron,70,total,flux,8.892305337795996e-06,5.79504115561617e-07
99,498000.0,523000.0,neutron,70,total,flux,3.911740617615832e-06,5.705743551040721e-07
100,523000.0,550000.0,neutron,70,total,flux,3.826729354498078e-06,6.348003372529419e-07
101,550000.0,578000.0,neutron,70,total,flux,6.185910345591974e-06,7.931310164084644e-07
102,578000.0,608000.0,neutron,70,total,flux,7.3485135450996114e-06,7.731589717669931e-07
103,608000.0,639000.0,neutron,70,total,flux,1.1321639313608579e-05,9.797275595497126e-07
104,639000.0,672000.0,neutron,70,total,flux,1.1772451862570857e-05,7.084708960235453e-07
105,672000.0,707000.0,neutron,70,total,flux,7.697327024412405e-06,9.537934362929404e-07
106,707000.0,743000.0,neutron,70,total,flux,7.037913843474809e-06,7.251012938326248e-07
107,743000.0,781000.0,neutron,70,total,flux,3.469249520880579e-06,5.370502463321077e-07
108,781000.0,821000.0,neutron,70,total,flux,3.7742359275691585e-06,3.7264741503239757e-07
109,821000.0,863000.0,neutron,70,total,flux,5.4911427847635155e-06,4.6027459069548743e-07
110,863000.0,907000.0,neutron,70,total,flux,6.734081063666989e-06,5.476362250632776e-07
111,907000.0,962000.0,neutron,70,total,flux,1.1215183750839682e-05,7.482833594585542e-07
112,962000.0,1000000.0,neutron,70,total,flux,4.546942578130763e-06,7.973787784146729e-07
113,1000000.0,1110000.0,neutron,70,total,flux,1.1864320052839396e-05,1.1420799299623175e-06
114,1110000.0,1160000.0,neutron,70,total,flux,4.850739684703277e-06,7.098971281120879e-07
115,1160000.0,1220000.0,neutron,70,total,flux,8.917389457080607e-06,8.41739352661995e-07
116,1220000.0,1290000.0,neutron,70,total,flux,6.459774422925254e-06,6.9559521166604e-07
117,1290000.0,1350000.0,neutron,70,total,flux,4.133188261397891e-06,5.55419332536795e-07
118,1350000.0,1420000.0,neutron,70,total,flux,4.864988922470339e-06,6.312498689873264e-07
119,1420000.0,1500000.0,neutron,70,total,flux,5.315969109248265e-06,9.790795388195795e-07
