,energy low [eV],energy high [eV],particle,surface,nuclide,score,mean,std. dev.
0,99.99999747378752,1000.0000474974513,neutron,60,total,current,0.0004003,3.955446315594818e-06
1,1000.0000474974513,1200.0000569969416,neutron,60,total,current,7.68e-05,2.1437246921084474e-06
2,1200.0000569969416,1500.000013038516,neutron,60,total,current,0.0001337,1.9151443229630266e-06
3,1500.000013038516,2000.0000949949026,neutron,60,total,current,0.0002365,5.976342248120202e-06
4,2000.0000949949026,2300.000051036477,neutron,60,total,current,0.0001479,3.11073410414115e-06
5,2300.000051036477,2499.9999441206455,neutron,60,total,current,9.780000000000002e-05,3.5894908335923994e-06
6,2499.9999441206455,3000.000026077032,neutron,60,total,current,0.0002594,4.2796676921874475e-06
7,3000.000026077032,4000.000189989805,neutron,60,total,current,0.0005145999999999999,8.665640964945199e-06
8,4000.000189989805,4999.999888241291,neutron,60,total,current,0.0005258999999999999,7.6149706353853765e-06
9,4999.999888241291,6000.000052154064,neutron,60,total,current,0.0004869999999999999,6.342099196814064e-06
10,6000.000052154064,7000.000216066837,neutron,60,total,current,0.00019089999999999998,3.4815386126126178e-06
11,7000.000216066837,8000.00037997961,neutron,60,total,current,7.03e-05,3.1973947728319754e-06
12,8000.00037997961,8999.999612569809,neutron,60,total,current,7.649999999999999e-05,1.8150604520083211e-06
13,8999.999612569809,9999.999776482582,neutron,60,total,current,0.00016499999999999997,5.133766215514308e-06
14,9999.999776482582,10999.999940395355,neutron,60,total,current,0.00018399999999999997,3.4673076330523457e-06
15,10999.999940395355,12000.000104308128,neutron,60,total,current,0.00017629999999999998,3.989012687648655e-06
16,12000.000104308128,13000.000268220901,neutron,60,total,current,0.00015999999999999999,3.483293460696815e-06
17,13000.000268220901,14000.000432133675,neutron,60,total,current,0.0001404,3.7184226046358186e-06
18,14000.000432133675,14999.999664723873,neutron,60,total,current,0.0001359,3.163858403911247e-06
19,14999.999664723873,16000.00075995922,neutron,60,total,current,0.000128,3.3960761671866408e-06
20,16000.00075995922,17000.000923871994,neutron,60,total,current,0.00011770000000000001,2.5168322241349495e-06
21,17000.000923871994,17999.999225139618,neutron,60,total,current,0.00012109999999999999,2.3591429705627177e-06
22,17999.999225139618,18999.99938905239,neutron,60,total,current,0.00012859999999999998,2.7047283700134533e-06
23,18999.99938905239,19999.999552965164,neutron,60,total,current,0.0001423,5.723344010861709e-06
24,19999.999552965164,20999.999716877937,neutron,60,total,current,0.00017669999999999999,3.4481879299134204e-06
25,20999.999716877937,21999.99988079071,neutron,60,total,current,0.0002445,6.37050495120544e-06
26,21999.99988079071,23000.000044703484,neutron,60,total,current,0.0004075999999999999,6.4776538962815346e-06
27,23000.000044703484,24000.000208616257,neutron,60,total,current,0.0009681999999999998,9.968617423361673e-06
28,24000.000208616257,25000.00037252903,neutron,60,total,current,0.0026761999999999997,1.84419810938749e-05
29,25000.00037252903,26000.000536441803,neutron,60,total,current,0.0023939,1.3592849427385585e-05
30,26000.000536441803,27000.000700354576,neutron,60,total,current,0.00026440000000000003,5.011542233240345e-06
31,27000.000700354576,28000.00086426735,neutron,60,total,current,1.17e-05,1.145522685162638e-06
32,28000.00086426735,28999.999165534973,neutron,60,total,current,8.599999999999999e-06,8.84433277428108e-07
33,28999.999165534973,29999.999329447746,neutron,60,total,current,2.02e-05,8.406346808612339e-07
34,29999.999329447746,32000.00151991844,neutron,60,total,current,9.669999999999998e-05,3.1483681840316384e-06
35,32000.00151991844,34000.00184774399,neutron,60,total,current,0.0001712,4.355838993045256e-06
36,34000.00184774399,35999.998450279236,neutron,60,total,current,0.00023700000000000001,3.431876713662137e-06
37,35999.998450279236,37999.99877810478,neutron,60,total,current,0.0003042,7.4681546136466626e-06
38,37999.99877810478,39999.99910593033,neutron,60,total,current,0.0003629,5.379900866496635e-06
39,39999.99910593033,41999.999433755875,neutron,60,total,current,0.00035789999999999997,6.972087205421527e-06
40,41999.999433755875,43999.99976158142,neutron,60,total,current,0.0004319,5.192836946752261e-06
