energy	Flux	dFi	Fi/dE [MeV]
1.20E+01	2.91E-07	2.52E-01	5.82E-07
1.25E+01	2.31E-07	2.61E-01	4.61E-07
1.30E+01	1.44E-07	3.62E-01	2.88E-07
1.35E+01	6.23E-08	5.01E-01	1.25E-07
1.40E+01	5.47E-08	5.91E-01	5.47E-08
1.50E+01	7.90E-08	5.12E-01	7.90E-08
1.60E+01	4.05E-08	7.14E-01	4.05E-08
1.70E+01	4.39E-08	7.11E-01	4.39E-08
1.80E+01	0	0	0.00E+00
1.90E+01	0	0	0.00E+00
2.00E+01	0	0	0.00E+00
2.50E+01	0	0	0.00E+00
3.00E+01	0	0	
