,energy low [eV],energy high [eV],particle,surface,nuclide,score,mean,std. dev.
0,99.99999747378752,1000.0000474974513,neutron,60,total,current,0.000996,4.951318567367289e-05
1,1000.0000474974513,1200.0000569969416,neutron,60,total,current,0.00018200000000000003,2.0319667538837537e-05
2,1200.0000569969416,1500.000013038516,neutron,60,total,current,0.000348,1.6384274303259388e-05
3,1500.000013038516,2000.0000949949026,neutron,60,total,current,0.000546,2.6170381901853808e-05
4,2000.0000949949026,2300.000051036477,neutron,60,total,current,0.0003980000000000001,2.6741561493508647e-05
5,2300.000051036477,2499.9999441206455,neutron,60,total,current,0.000218,1.412641340027808e-05
6,2499.9999441206455,3000.000026077032,neutron,60,total,current,0.0006160000000000001,3.396730454095185e-05
7,3000.000026077032,4000.000189989805,neutron,60,total,current,0.001144,3.685406656289384e-05
8,4000.000189989805,4999.999888241291,neutron,60,total,current,0.00119,3.878716855410362e-05
9,4999.999888241291,6000.000052154064,neutron,60,total,current,0.0011099999999999999,4.343577634469885e-05
10,6000.000052154064,7000.000216066837,neutron,60,total,current,0.00041799999999999997,2.1592179654268983e-05
11,7000.000216066837,8000.00037997961,neutron,60,total,current,0.00016800000000000002,1.638427430325933e-05
12,8000.00037997961,8999.999612569809,neutron,60,total,current,0.00017200000000000003,1.2364824660660887e-05
13,8999.999612569809,9999.999776482582,neutron,60,total,current,0.0004020000000000001,3.4953937943782045e-05
14,9999.999776482582,10999.999940395355,neutron,60,total,current,0.00035999999999999997,2.3664319132398583e-05
15,10999.999940395355,12000.000104308128,neutron,60,total,current,0.000442,3.1615748537011686e-05
16,12000.000104308128,13000.000268220901,neutron,60,total,current,0.00033400000000000004,2.5307003861469738e-05
17,13000.000268220901,14000.000432133675,neutron,60,total,current,0.00029800000000000003,1.872609587358416e-05
18,14000.000432133675,14999.999664723873,neutron,60,total,current,0.000294,3.2117838587855777e-05
19,14999.999664723873,16000.00075995922,neutron,60,total,current,0.000294,2.7006172134038857e-05
20,16000.00075995922,17000.000923871994,neutron,60,total,current,0.000296,2.8252826800556134e-05
21,17000.000923871994,17999.999225139618,neutron,60,total,current,0.000246,2.8913664589601913e-05
22,17999.999225139618,18999.99938905239,neutron,60,total,current,0.00028400000000000007,1.6812693617224523e-05
23,18999.99938905239,19999.999552965164,neutron,60,total,current,0.0003220000000000001,2.8666666666666634e-05
24,19999.999552965164,20999.999716877937,neutron,60,total,current,0.00034600000000000006,1.1944315244779155e-05
25,20999.999716877937,21999.99988079071,neutron,60,total,current,0.0005420000000000002,4.092812127512206e-05
26,21999.99988079071,23000.000044703484,neutron,60,total,current,0.0009559999999999999,5.438954147832338e-05
27,23000.000044703484,24000.000208616257,neutron,60,total,current,0.0022320000000000005,7.006029149557055e-05
28,24000.000208616257,25000.00037252903,neutron,60,total,current,0.006436000000000002,0.00013700932652762943
29,25000.00037252903,26000.000536441803,neutron,60,total,current,0.005546000000000001,7.137070672046366e-05
30,26000.000536441803,27000.000700354576,neutron,60,total,current,0.0006320000000000001,4.383808592739622e-05
31,27000.000700354576,28000.00086426735,neutron,60,total,current,1.2e-05,4.4221663871405345e-06
32,28000.00086426735,28999.999165534973,neutron,60,total,current,1.4000000000000001e-05,5.206833117271104e-06
33,28999.999165534973,29999.999329447746,neutron,60,total,current,6.000000000000001e-05,8.944271909999153e-06
34,29999.999329447746,32000.00151991844,neutron,60,total,current,0.000232,2.1949436844205787e-05
35,32000.00151991844,34000.00184774399,neutron,60,total,current,0.00038,1.813529401164716e-05
36,34000.00184774399,35999.998450279236,neutron,60,total,current,0.000518,2.2597935008904317e-05
37,35999.998450279236,37999.99877810478,neutron,60,total,current,0.0007320000000000001,3.9237170585499005e-05
38,37999.99877810478,39999.99910593033,neutron,60,total,current,0.00083,3.958114029012654e-05
39,39999.99910593033,41999.999433755875,neutron,60,total,current,0.000864,5.21365727893793e-05
40,41999.999433755875,43999.99976158142,neutron,60,total,current,0.00099,5.555777773333538e-05
41,43999.99976158142,46000.00008940697,neutron,60,total,current,0.0011880000000000003,4.65904138924163e-05
42,46000.00008940697,48000.00041723251,neutron,60,total,current,0.0011740000000000001,6.204299584427972e-05
43,48000.00041723251,50000.00074505806,neutron,60,total,current,0.0012120000000000002,4.900793586530398e-05
44,50000.00074505806,52000.001072883606,neutron,60,total,current,0.001112,4.4342104395509507e-05
45,52000.001072883606,54000.00140070915,neutron,60,total,current,0.000642,2.9280255007997026e-05
46,54000.00140070915,56000.0017285347,neutron,60,total,current,0.00113,6.479025989898343e-05
47,56000.0017285347,57999.998331069946,neutron,60,total,current,0.001324,6.427717756370108e-05
48,57999.998331069946,59999.99865889549,neutron,60,total,current,0.001396,3.222145592958627e-05
49,59999.99865889549,64999.99761581421,neutron,60,total,current,0.003726,8.154344445345345e-05
50,64999.99761581421,70000.00029802322,neutron,60,total,current,0.007562000000000001,0.00011248506073648024
51,70000.00029802322,75000.00298023224,neutron,60,total,current,0.006768000000000001,0.00011877897307370792
52,75000.00298023224,79999.99821186066,neutron,60,total,current,0.0044740000000000005,6.909253054981782e-05
53,79999.99821186066,85000.00089406967,neutron,60,total,current,0.012622,0.00014007775618483798
54,85000.00089406967,90000.00357627869,neutron,60,total,current,0.0016460000000000003,6.838128398911501e-05
55,90000.00357627869,94999.9988079071,neutron,60,total,current,0.0029240000000000004,0.00010855822810311868
56,94999.9988079071,100000.00149011612,neutron,60,total,current,0.002954,8.553361912137282e-05
57,100000.00149011612,104999.99672174454,neutron,60,total,current,0.004188,8.875434261675979e-05
58,104999.99672174454,109999.99940395355,neutron,60,total,current,0.004848000000000001,8.166054398817127e-05
59,109999.99940395355,115000.00208616257,neutron,60,total,current,0.005954,0.00012260324447401755
60,115000.00208616257,119999.99731779099,neutron,60,total,current,0.006838000000000001,7.969107018145449e-05
61,119999.99731779099,125000.0,neutron,60,total,current,0.009340000000000001,7.174027227901222e-05
62,125000.0,129999.99523162842,neutron,60,total,current,0.013288,0.00013030562365283995
63,129999.99523162842,135000.00536441803,neutron,60,total,current,0.007606000000000002,0.00016978548557255887
64,135000.00536441803,140000.00059604645,neutron,60,total,current,0.021392,0.00016653861747689824
65,140000.00059604645,148570.0011253357,neutron,60,total,current,0.001866,8.511691306014851e-05
66,148570.0011253357,157140.00165462494,neutron,60,total,current,0.005988000000000001,8.930347759807507e-05
67,157140.00165462494,165710.00218391418,neutron,60,total,current,0.014660000000000001,0.0002211887077688319
68,165710.00218391418,174290.0013923645,neutron,60,total,current,0.016138000000000003,0.0002688816344292058
69,174290.0013923645,182860.00192165375,neutron,60,total,current,0.023572,9.703149545952592e-05
70,182860.00192165375,191430.002450943,neutron,60,total,current,0.020382,0.00013510325269549465
71,191430.002450943,200000.00298023224,neutron,60,total,current,0.0032140000000000003,0.00012507953025530863
72,200000.00298023224,209999.99344348907,neutron,60,total,current,0.00852,9.432803283107213e-05
73,209999.99344348907,219999.9988079071,neutron,60,total,current,0.022536,0.00019681463360229725
74,219999.9988079071,230000.00417232513,neutron,60,total,current,0.006124000000000001,0.00013671706387848685
75,230000.00417232513,239999.99463558197,neutron,60,total,current,0.014194000000000003,0.0002147670572710867
76,239999.99463558197,250000.0,neutron,60,total,current,0.014804000000000003,0.000247472557401146
77,250000.0,259999.99046325684,neutron,60,total,current,0.011996000000000003,0.00010485121734043455
78,259999.99046325684,270000.01072883606,neutron,60,total,current,0.018102,0.00017308828832584
79,270000.01072883606,280000.0011920929,neutron,60,total,current,0.025014,0.00016575886099996242
80,280000.0011920929,289999.99165534973,neutron,60,total,current,0.007384,0.00011827651217944488
81,289999.99165534973,300000.01192092896,neutron,60,total,current,0.019528000000000007,0.00021770928628174057
82,300000.01192092896,319999.9928474426,neutron,60,total,current,0.07379999999999999,0.0004022271331808254
83,319999.9928474426,340000.0035762787,neutron,60,total,current,0.019356000000000005,0.00021157189479383852
84,340000.0035762787,360000.01430511475,neutron,60,total,current,0.06607,0.00034057794017420905
85,360000.01430511475,379999.9952316284,neutron,60,total,current,0.042612000000000004,0.00026263959251330546
86,379999.9952316284,400000.0059604645,neutron,60,total,current,0.009068000000000001,0.00011731060385905252
87,400000.0059604645,419999.98688697815,neutron,60,total,current,0.010028,0.00013493043475148116
88,419999.98688697815,439999.9976158142,neutron,60,total,current,0.019418,0.00016576958573744546
89,439999.9976158142,460000.00834465027,neutron,60,total,current,0.014936,0.00019048009519808155
90,460000.00834465027,479999.98927116394,neutron,60,total,current,0.028096000000000003,0.00019305266984251103
91,479999.98927116394,500000.0,neutron,60,total,current,0.021514000000000002,0.0003380867738712474
92,500000.0,550000.011920929,neutron,60,total,current,0.04487800000000001,0.0002745412334947754
93,550000.011920929,600000.0238418579,neutron,60,total,current,0.064928,0.00037427500287605695
94,600000.0238418579,649999.9761581421,neutron,60,total,current,0.11969400000000004,0.0004102254122893734
95,649999.9761581421,699999.988079071,neutron,60,total,current,0.06654800000000001,0.00046346712696562943
96,699999.988079071,750000.0,neutron,60,total,current,0.062564,0.00024295953023782818
97,750000.0,800000.011920929,neutron,60,total,current,0.032810000000000006,0.00017125030413600234
98,800000.011920929,850000.0238418579,neutron,60,total,current,0.045172000000000004,0.00035641673486087866
99,850000.0238418579,899999.9761581421,neutron,60,total,current,0.052052,0.00026412454974459286
100,899999.9761581421,949999.988079071,neutron,60,total,current,0.05844400000000002,0.0004528801656556836
101,949999.988079071,1000000.0,neutron,60,total,current,0.062318,0.00040221000595329543
102,1000000.0,1100000.023841858,neutron,60,total,current,0.09515000000000001,0.0004023293288943355
103,1100000.023841858,1200000.0476837158,neutron,60,total,current,0.112286,0.0005595319472563803
104,1200000.0476837158,1299999.9523162842,neutron,60,total,current,0.06318,0.00022418246536671062
105,1299999.9523162842,1399999.976158142,neutron,60,total,current,0.04570400000000001,0.000305531231354985
106,1399999.976158142,1500000.0,neutron,60,total,current,0.032194,0.00022594099524737209
107,1500000.0,1600000.023841858,neutron,60,total,current,0.027283999999999996,0.00020341091416154294
108,1600000.023841858,1700000.0476837158,neutron,60,total,current,0.026598000000000004,0.0001882657695918025
109,1700000.0476837158,1799999.9523162842,neutron,60,total,current,0.025872,0.000157061912774792
110,1799999.9523162842,1899999.976158142,neutron,60,total,current,0.021968,0.00012730366146429693
111,1899999.976158142,2000000.0,neutron,60,total,current,0.016554,0.0001516443206981742
112,2000000.0,2250000.0,neutron,60,total,current,0.036053999999999996,0.00020784716607275924
113,2250000.0,2500000.0,neutron,60,total,current,0.028674000000000005,0.00026686742443056465
