E_low,E_max,Sp/dE,Sp/log(E/e),prompt_n_source
2.47E+05,2.73E+05,2.75E-07,1.65E-01,7.1454E-03
2.73E+05,2.87E+05,2.82E-07,1.82E-01,3.9575E-03
2.87E+05,2.95E+05,2.85E-07,1.91E-01,2.0701E-03
2.95E+05,2.97E+05,2.85E-07,1.94E-01,7.6312E-04
2.97E+05,2.99E+05,2.85E-07,1.95E-01,3.7017E-04
2.99E+05,3.02E+05,2.88E-07,1.99E-01,9.9935E-04
3.02E+05,3.34E+05,2.93E-07,2.14E-01,9.2958E-03
3.34E+05,3.69E+05,3.01E-07,2.43E-01,1.0554E-02
3.69E+05,3.88E+05,3.06E-07,2.67E-01,5.7956E-03
3.88E+05,4.08E+05,3.10E-07,2.84E-01,6.1703E-03
4.08E+05,4.50E+05,3.15E-07,3.11E-01,1.3515E-02
4.50E+05,4.98E+05,3.22E-07,3.51E-01,1.5248E-02
4.98E+05,5.23E+05,3.26E-07,3.83E-01,8.3194E-03
5.23E+05,5.50E+05,3.28E-07,4.06E-01,8.8088E-03
5.50E+05,5.78E+05,3.31E-07,4.30E-01,9.3279E-03
5.78E+05,6.08E+05,3.33E-07,4.54E-01,9.8636E-03
6.08E+05,6.39E+05,3.34E-07,4.80E-01,1.0415E-02
6.39E+05,6.72E+05,3.35E-07,5.06E-01,1.0989E-02
6.72E+05,7.07E+05,3.36E-07,5.33E-01,1.1577E-02
7.07E+05,7.43E+05,3.37E-07,5.61E-01,1.2192E-02
7.43E+05,7.81E+05,3.37E-07,5.90E-01,1.2816E-02
7.81E+05,8.21E+05,3.36E-07,6.20E-01,1.3457E-02
8.21E+05,8.63E+05,3.35E-07,6.50E-01,1.4115E-02
8.63E+05,9.07E+05,3.34E-07,6.81E-01,1.4780E-02
9.07E+05,9.62E+05,3.32E-07,7.15E-01,1.8095E-02
9.62E+05,1.00E+06,3.30E-07,7.46E-01,1.3505E-02
1.00E+06,1.11E+06,3.25E-07,7.90E-01,3.4296E-02
1.11E+06,1.16E+06,3.19E-07,8.35E-01,1.8120E-02
1.16E+06,1.22E+06,3.16E-07,8.68E-01,1.8881E-02
