,energy low [eV],energy high [eV],particle,cell,nuclide,score,mean,std. dev.
0,341820.0,357430.0,photon,52,total,flux,0.0016228740359149126,9.842205542916493e-06
1,357430.0,380540.0,photon,52,total,flux,0.0022245331675400807,1.627602621118227e-05
2,380540.0,395770.0,photon,52,total,flux,0.0013766668375869296,9.993996186143962e-06
3,395770.0,418370.0,photon,52,total,flux,0.0020017881171762444,1.1256322611031013e-05
4,418370.0,440720.0,photon,52,total,flux,0.0018948303277826622,1.2564910180073304e-05
5,440720.0,462850.0,photon,52,total,flux,0.0018048694907216074,1.470176970022664e-05
6,462850.0,492060.0,photon,52,total,flux,0.0022889772439804936,1.11888533400154e-05
7,492060.0,520960.0,photon,52,total,flux,0.002910277773566121,1.1727974743463336e-05
8,520960.0,549600.0,photon,52,total,flux,0.0019984306279672236,1.1183667002541562e-05
9,549600.0,578020.0,photon,52,total,flux,0.001926482734288973,1.7911144738996316e-05
10,578020.0,613270.0,photon,52,total,flux,0.0022816118758969767,1.2324590838646782e-05
11,613270.0,648240.0,photon,52,total,flux,0.002200373030053073,1.3748560671272814e-05
12,648240.0,682980.0,photon,52,total,flux,0.0021020358281356732,1.0221815184347595e-05
13,682980.0,724410.0,photon,52,total,flux,0.002468329990082847,1.2517033963029523e-05
14,724410.0,772410.0,photon,52,total,flux,0.002681188606955311,1.6559756606986558e-05
15,772410.0,813320.0,photon,52,total,flux,0.002349902372630051,1.4600280409365762e-05
16,813320.0,867580.0,photon,52,total,flux,0.019081880368322285,3.478234858866165e-05
17,867580.0,921550.0,photon,52,total,flux,0.0009048403820817976,6.814874131982861e-06
18,921550.0,975280.0,photon,52,total,flux,0.0007851372594298595,8.389301957786068e-06
19,975280.0,1035500.0000000001,photon,52,total,flux,0.0008725416769658002,7.690448261829808e-06
20,1035500.0000000001,1102100.0,photon,52,total,flux,0.0011393751552504917,9.798832781514948e-06
21,1102100.0,1168500.0,photon,52,total,flux,0.0008900684578043416,6.496294168133551e-06
22,1168500.0,1247900.0,photon,52,total,flux,0.0026594637846372457,8.293943962271683e-06
23,1247900.0,1327000.0,photon,52,total,flux,0.0008645879499732922,9.984762013542402e-06
24,1327000.0,1412500.0,photon,52,total,flux,0.001545672847063329,9.751812225193745e-06
25,1412500.0,1504300.0,photon,52,total,flux,0.0006752698722739953,7.335630867444138e-06
26,1504300.0,1602500.0,photon,52,total,flux,0.0006841943108851911,4.6902044658395935e-06
27,1602500.0,1707000.0,photon,52,total,flux,0.0006882659173558244,8.593881189799135e-06
28,1707000.0,1824300.0,photon,52,total,flux,0.0021591042203097217,1.015149101508374e-05
29,1824300.0,1941400.0,photon,52,total,flux,0.000611070275116876,7.978640436753747e-06
30,1941400.0,2071300.0,photon,52,total,flux,0.0006985004610825053,5.577176873647795e-06
31,2071300.0,2214000.0,photon,52,total,flux,0.0017401460506785969,1.0367467895049031e-05
32,2214000.0,2363000.0,photon,52,total,flux,0.0010130373793813554,6.1958146418004e-06
